target,feature_set,model,evaluation,bootstrap_method,replicates,confidence_level,nominal_fraction,metric,point_estimate,point_estimate_pp,bootstrap_mean,bootstrap_mean_pp,bootstrap_se,bootstrap_se_pp,ci_lower,ci_upper,ci_lower_pp,ci_upper_pp
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.1,interaction,0.005122095306616142,0.5122095306616142,0.0051365580161361595,0.5136558016136159,0.0004409816554272842,0.04409816554272842,0.00436452214468529,0.006036713666249472,0.436452214468529,0.6036713666249472
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.1,ordered_capacity_within_early_cohort,0.03264015630311451,3.2640156303114507,0.0326679447137054,3.26679447137054,0.00030764211960942724,0.030764211960942724,0.032077437463060514,0.03325216694582684,3.2077437463060514,3.325216694582684
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.1,ordered_availability_at_all_budget,0.024049425579453526,2.4049425579453527,0.02405764864913393,2.4057648649133934,0.0005715678208252737,0.05715678208252737,0.023002443448153727,0.02511499403034178,2.300244344815373,2.5114994030341777
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.1,availability_at_early_budget,0.018927330272837384,1.8927330272837384,0.018921090632997767,1.8921090632997766,0.0004831076063262824,0.04831076063262824,0.017960362232503222,0.01986100194954602,1.7960362232503222,1.9861001949546022
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.1,capacity_in_all_cohort,0.03776225160973065,3.7762251609730653,0.03780450272984156,3.780450272984156,0.00031598304508339984,0.03159830450833998,0.03719613961845546,0.03844344632300659,3.7196139618455457,3.8443446323006594
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.1,shapley_availability,0.021488377926145455,2.1488377926145454,0.02148936964106585,2.148936964106585,0.00048106669126097705,0.048106669126097706,0.020557609030038445,0.022405085183723503,2.0557609030038444,2.2405085183723505
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.1,shapley_capacity,0.03520120395642258,3.520120395642258,0.03523622372177347,3.523622372177347,0.0002205181946305849,0.02205181946305849,0.03484339842390581,0.03567941457450566,3.484339842390581,3.5679414574505657
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.1,total_topq_contrast,0.056689581882568035,5.668958188256804,0.05672559336283932,5.672559336283932,0.0004652818124509908,0.04652818124509908,0.055822486864982666,0.05766181070119705,5.582248686498267,5.766181070119705
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,C00_early_Bearly,0.08507179715449165,8.507179715449166,0.08505686189083059,8.50568618908306,0.00047388573559404657,0.04738857355940466,0.08411975741225192,0.0859791811487365,8.411975741225191,8.59791811487365
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,C10_all_Bearly,0.09551082315313979,9.551082315313979,0.09551019588515075,9.551019588515075,0.0004886455316998253,0.04886455316998253,0.09454844454548521,0.0964372453414213,9.454844454548521,9.64372453414213
